Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	BS_BIOSAMPLE_TITLE	BS_BIOSAMPLE_ORGANISM	BS_isolation_source	BS_collection_date	BS_geo_loc_name	BS_lat_lon	BS_sample_ID	ARG_TOTAL_HITS	ARG_UNIQUE_NORMALIZED_LABELS	ARG_STATUS	BS_ID	BS_BIOSAMPLE_COMMENT	BS_host	BS_ENA_first_public	BS_ENA-CHECKLIST	BS_INSDC_center_name	BS_INSDC_status	BS_Submitter_Id	BS_sample_name	BS_scientific_name	BS_GUNC_clade_separation_score	BS_GUNC_contamination_score	BS_GUNC_reference_representation_score	BS_GUNC_version	BS_MAG_coverage_software	BS_SPIRE_genome_cluster	BS_SPIRE_genome_id	BS_assembly_quality	BS_assembly_software	BS_binning_parameters	BS_binning_software	BS_env_broad_scale	BS_completeness_score	BS_completeness_software	BS_contamination_score	BS_contig_N50	BS_derived_from_assembly	BS_env_medium	BS_geographic_location_(latitude)	BS_geographic_location_(longitude)	BS_linked_to_SPIRE_sample	BS_linked_to_SPIRE_study	BS_linked_to_analysis_project	BS_local_environmental_context	BS_metagenomic_source	BS_number_of_contigs	BS_project_name	BS_sample_derived_from	BS_taxonomic_classification	BS_taxonomic_classification_software	BS_taxonomic_identity_marker
SRR2938129	2016-03-11 16:31:32	2015-12-13 11:29:38	9803828	1365564336	0	139	718		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938129/SRR2938129.sralite.1	SRX1440795	WGS_paired_SW014	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP066479	PRJNA300541	2	300541	SRS1170833	SAMN04262568	simple	527639	wastewater metagenome	SW014							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	6092604311BFE31C0E65CB5B29C75FF1	6CF69D9E0B36688BF2F21AA9551C2527	SPIRE v01 sample spire_sample_75717.	metagenome		missing: third party data	missing: third party data			40	40	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262568.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75717	spire_sample_75717	metagenome																															
SRR2938130	2016-03-11 16:31:32	2015-12-13 12:30:51	6309979	879096905	0	139	453		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938130/SRR2938130.sralite.1	SRX1440796	WGS_paired_SW166	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP066479	PRJNA300541	2	300541	SRS1170834	SAMN04262573	simple	527639	wastewater metagenome	SW166							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	F87119978924CE817FC2C8DEC7C3F5A4	350685D8CC5C55DD5F357EE5142AF2BE	SPIRE v01 sample spire_sample_75772.	metagenome		missing: third party data	missing: third party data			29	29	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262573.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75772	spire_sample_75772	metagenome																															
SRR2938131	2016-03-11 16:31:32	2015-12-13 12:30:55	11254902	1560641609	0	138	835		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938131/SRR2938131.sralite.1	SRX1440797	WGS_paired_SW167	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP066479	PRJNA300541	2	300541	SRS1170832	SAMN04262559	simple	527639	wastewater metagenome	SW167							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	7A551C3182E39B5E7392D9C234F5B088	0086EEF94D10956052B3559CB2D5C2BF	Metagenome-Assembled Genome spire_mag_01092667 in SPIRE v01 classified as M0108 sp009928645	Gammaproteobacteria bacterium	missing: third party data	missing: third party data	missing: third party data			9	9	Detected				2025-10-13	ERC000047	EMBL Heidelberg	public	spire_mag_01092667	spire_mag_01092667	Gammaproteobacteria bacterium	0.28	0.17	0.59	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_30374	https://spire.embl.de/spire/v1/genome/spire_mag_01092667	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	79.23	CheckM2 v0.1.3	3.02	5599	ERZ27289560	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75719	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	513	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262559	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__M0108;s__M0108 sp009928645	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938132	2016-03-11 16:31:32	2015-12-13 12:32:01	14085485	1943557109	0	137	1048		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938132/SRR2938132.sralite.1	SRX1440798	WGS_paired_SW169	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP066479	PRJNA300541	2	300541	SRS1170831	SAMN04262560	simple	527639	wastewater metagenome	SW169							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	F44C1D54AAD8219FAC3E0ED8D2B93179	A5B9FCCC61FB6D7378E8FE9677BF2ED5	Metagenome-Assembled Genome spire_mag_01092370 in SPIRE v01 classified as Thiothrix unzii	Thiothrix unzii	missing: third party data	missing: third party data	missing: third party data			19	19	Detected				2025-10-14	ERC000047	EMBL Heidelberg	public	spire_mag_01092370	spire_mag_01092370	Thiothrix unzii	0.0	0.0	0.74	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000393943	https://spire.embl.de/spire/v1/genome/spire_mag_01092370	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	56.58	CheckM2 v0.1.3	1.40	4320	ERZ27289566	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75729	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	365	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262560	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix unzii	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938311	2016-03-11 16:31:32	2015-12-13 11:21:01	1602205	455025652	1602205	283	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938311/SRR2938311.sralite.1	SRX1440984	WGS_paired_SW012	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170646	SAMN04262567	simple	527639	wastewater metagenome	SW012							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	7C0FE7409E19CC605B6BA1AA87AD778C	DF63AE4ABA61BB477A749C1E7CC93488	SPIRE v01 sample spire_sample_75986.	metagenome		missing: third party data	missing: third party data			18	18	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262567.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75986	spire_sample_75986	metagenome																															
SRR2938312	2016-03-11 16:31:32	2015-12-13 12:21:06	1781450	505930765	1781450	283	232		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938312/SRR2938312.sralite.1	SRX1440985	WGS_paired_SW076	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170645	SAMN04262569	simple	527639	wastewater metagenome	SW076							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	F596EEC367BC6C6CA64FBCEBA1CB6C6B	A59DE97736306684C2D2DD7AA1656CC6	SPIRE v01 sample spire_sample_75855.	metagenome		missing: third party data	missing: third party data			22	22	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262569.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75855	spire_sample_75855	metagenome																															
SRR2938313	2016-03-11 16:31:32	2015-12-13 12:21:00	1422299	403931977	1422299	283	183		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938313/SRR2938313.sralite.1	SRX1440986	WGS_paired_SW078	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170644	SAMN04262570	simple	527639	wastewater metagenome	SW078							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	CA019F62F7F908210AEA33DD53C7D103	FC6837EAFDB8206EDF25572A77911062	SPIRE v01 sample spire_sample_75884.	metagenome		missing: third party data	missing: third party data			14	13	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262570.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75884	spire_sample_75884	metagenome																															
SRR2938314	2016-03-11 16:31:32	2015-12-13 12:22:23	2941306	835329349	2941306	283	387		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938314/SRR2938314.sralite.1	SRX1440987	WGS_paired_SW081	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170643	SAMN04262535	simple	527639	wastewater metagenome	SW081							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	466046405BFF1A7C4FC98B6A9861F055	EDE6203A0BAB2CC164E83B5C7A0B4A20	Metagenome-Assembled Genome spire_mag_01092203 in SPIRE v01 classified as Agathobacter rectalis	Lachnospiraceae bacterium	missing: third party data	missing: third party data	missing: third party data			20	20	Detected				2025-10-14	ERC000047	EMBL Heidelberg	public	spire_mag_01092203	spire_mag_01092203	Lachnospiraceae bacterium	0.29	0.04	0.87	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00168	https://spire.embl.de/spire/v1/genome/spire_mag_01092203	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	93.76	CheckM2 v0.1.3	1.94	15687	ERZ27289542	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75806	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	236	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262535	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938315	2016-03-11 16:31:32	2015-12-13 12:22:23	2919857	829238156	2919857	283	394		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938315/SRR2938315.sralite.1	SRX1440988	WGS_paired_SW083	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170642	SAMN04262537	simple	527639	wastewater metagenome	SW083							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	B2F78003CFA1778783FE22F5C19018F9	E7CB551A8B2BD27B09F3B9157E133761	Metagenome-Assembled Genome spire_mag_01092857 in SPIRE v01 classified as Bifidobacterium adolescentis	Bifidobacterium adolescentis	missing: third party data	missing: third party data	missing: third party data			12	12	Detected				2025-10-13	ERC000047	EMBL Heidelberg	public	spire_mag_01092857	spire_mag_01092857	Bifidobacterium adolescentis	0.0	0.0	0.94	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00075	https://spire.embl.de/spire/v1/genome/spire_mag_01092857	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	80.07	CheckM2 v0.1.3	2.22	7286	ERZ27289543	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75770	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	230	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262537	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938316	2016-03-11 16:31:32	2015-12-13 12:23:22	4468721	1269114524	4468721	283	572		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938316/SRR2938316.sralite.1	SRX1440989	WGS_paired_SW084	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170641	SAMN04262538	simple	527639	wastewater metagenome	SW084							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	CB771F8944063D7BF622F77115F09230	E7559843757F7A6EEF126E5C93684F17	Metagenome-Assembled Genome spire_mag_01090444 in SPIRE v01 classified as Ligilactobacillus ruminis	Ligilactobacillus ruminis	missing: third party data	missing: third party data	missing: third party data			18	18	Detected				2025-10-14	ERC000047	EMBL Heidelberg	public	spire_mag_01090444	spire_mag_01090444	Ligilactobacillus ruminis	0.0	0.0	0.91	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00349	https://spire.embl.de/spire/v1/genome/spire_mag_01090444	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	59.71	CheckM2 v0.1.3	0.74	4977	ERZ27289545	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75917	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	244	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262538	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938317	2016-03-11 16:31:32	2015-12-13 12:23:27	3266963	927815326	3266963	283	419		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938317/SRR2938317.sralite.1	SRX1440990	WGS_paired_SW085	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170640	SAMN04262539	simple	527639	wastewater metagenome	SW085							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	FD7E6D69A44E7DF29AB954A7D3FB26F3	B9F8DB981F613AEC0819B1679B698393	Metagenome-Assembled Genome spire_mag_01091901 in SPIRE v01 classified as Agathobacter rectalis	Lachnospiraceae bacterium	missing: third party data	missing: third party data	missing: third party data			18	18	Detected				2025-10-14	ERC000047	EMBL Heidelberg	public	spire_mag_01091901	spire_mag_01091901	Lachnospiraceae bacterium	0.43	0.03	0.86	GUNC v1.0.6	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00168	https://spire.embl.de/spire/v1/genome/spire_mag_01091901	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	63.28	CheckM2 v0.1.3	2.04	4695	ERZ27289547	missing: third party data	missing: third party data	missing: third party data	https://spire.embl.de/spire/v1/sample/75844	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	368	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource	SAMN04262539	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GTDBtk v2.3.2_r214	multi-marker approach
SRR2938318	2016-03-11 16:31:32	2015-12-13 12:22:07	1112853	316049955	1112853	283	145		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/938/SRR2938318/SRR2938318.sralite.1	SRX1440991	WGS_paired_SW086	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP066479	PRJNA300541	2	300541	SRS1170639	SAMN04262540	simple	527639	wastewater metagenome	SW086							no					WASHINGTON UNIVERSITY IN ST. LOUIS	SRA312534		public	7D26B060F625A16E1EA298D8663BFD3E	0EB7C9D906483E5A0E4E59B3232DF27D	SPIRE v01 sample spire_sample_75816.	metagenome		missing: third party data	missing: third party data			8	8	Detected		SPIRE v01 sample. This is a virtual sample, derived from SAMN04262540.		2025-09-16	ERC000011	EMBL Heidelberg	public	spire_sample_75816	spire_sample_75816	metagenome																															
